generation,best_fitness,avg_fitness,std_fitness,best_qed,avg_qed,diversity,population_size,llm_calls
0,0.8215995486924975,0.6274844826336364,0.1271717021608648,0.8215995486924975,0.6274844826336364,0.15,20,1
1,0.8215995486924975,0.7277505054135048,0.09872617738645632,0.8215995486924975,0.7277505054135048,0.7,20,2
2,0.8553130722319936,0.7937863064825221,0.04044331489062416,0.8553130722319936,0.7937863064825221,0.7,20,3
3,0.8553130722319936,0.8186837259330467,0.020952478551898836,0.8553130722319936,0.8186837259330467,0.65,20,4
4,0.9213152462113825,0.8342448602629858,0.02705516769804443,0.9213152462113825,0.8342448602629858,0.65,20,5
5,0.9213152462113825,0.8428444718431253,0.02644201788896312,0.9213152462113825,0.8428444718431253,0.6,20,6
6,0.9213152462113825,0.8465979906718479,0.025545763147080496,0.9213152462113825,0.8465979906718479,0.65,20,7
7,0.9213152462113825,0.853047900531856,0.024088298008893446,0.9213152462113825,0.853047900531856,0.55,20,8
8,0.9213152462113825,0.8584769576550381,0.02177763329792004,0.9213152462113825,0.8584769576550381,0.5,20,9
9,0.9213152462113825,0.8719985033265301,0.016709418447793434,0.9213152462113825,0.8719985033265301,0.45,20,10
10,0.9213152462113825,0.8752986120254995,0.019390740659821434,0.9213152462113825,0.8752986120254995,0.45,20,11
