generation,best_fitness,avg_fitness,std_fitness,best_qed,avg_qed,diversity,population_size,llm_calls
0,0.8215995486924975,0.6569640519248303,0.1344811889004183,0.8215995486924975,0.6569640519248303,0.15,20,1
1,0.8525559656735308,0.7340605093725021,0.11316499894204464,0.8525559656735308,0.7340605093725021,0.55,20,2
2,0.8584588945290903,0.8104260952223615,0.02605193043146553,0.8584588945290903,0.8104260952223615,0.65,20,3
3,0.8584588945290903,0.8230063293855021,0.017207542100706196,0.8584588945290903,0.8230063293855021,0.6,20,4
4,0.8584588945290903,0.8307674535357084,0.014408153481765043,0.8584588945290903,0.8307674535357084,0.55,20,5
5,0.8648666032638433,0.8356578593458133,0.015628857227540066,0.8648666032638433,0.8356578593458133,0.55,20,6
