generation,best_fitness,avg_fitness,std_fitness,best_qed,avg_qed,diversity,population_size,llm_calls
0,0.8215995486924975,0.6563811034019972,0.13496745529356796,0.8215995486924975,0.6563811034019972,0.3,10,1
1,0.8991447668871569,0.7321312528650771,0.13164831736142946,0.8991447668871569,0.7321312528650771,0.6,10,2
2,0.8991447668871569,0.8356255976811988,0.035430517420798,0.8991447668871569,0.8356255976811988,0.7,10,3
3,0.8991447668871569,0.8499865914682652,0.02835917883543931,0.8991447668871569,0.8499865914682652,0.8,10,4
