generation,best_fitness,avg_fitness,std_fitness,best_qed,avg_qed,diversity,population_size,llm_calls
0,0.8215995486924975,0.6552152063563308,0.13592726972628483,0.8215995486924975,0.6552152063563308,0.15,20,1
1,0.8231456099242039,0.7094741582114978,0.12786512859179466,0.8231456099242039,0.7094741582114978,0.4,20,2
2,0.877079753609104,0.7987245012064415,0.054845765006598886,0.877079753609104,0.7987245012064415,0.65,20,3
3,0.8872263294869482,0.8315940670572862,0.023761723451727095,0.8872263294869482,0.8315940670572862,0.65,20,4
4,0.9107893236014558,0.8490466353299018,0.027981250530753676,0.9107893236014558,0.8490466353299018,0.75,20,5
5,0.9107893236014558,0.8599628746284387,0.02604857963857814,0.9107893236014558,0.8599628746284387,0.9,20,6
